"isbn","bookTitle","aliases","authorEditor","language","edition","year","publicationDate","productForm","country","status","administrator","applicationNo","applicationSubmitted","verificationNotes","earmarked","available","used","totalEarmarked","booksSubmitted","booksPending","booksSurrendered","applicationSerialNo","bookSerialNo","sourceRow"
"978-93-5943-562-6","स्वयं सीखू सीरीज ए.आइ. सँ वीडियो बनाउ","","Gajendra Thakur","Maithili","","2026","2026-08-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","36213|ISBN|2026|A","2026-08-04","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","12","1","18"
"978-93-5937-518-2","गोहि सभक बीच जलसमाधि किशोर संस्करण","","Gajendra Thakur","Maithili","","2026","2026-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","35300|ISBN|2026|A","2026-07-31","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","13","1","19"
"978-93-5937-277-8","गोहि सभक बीच जलसमाधि बाल संस्करण","","Gajendra Thakur","Maithili","","2026","2026-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","34840|ISBN|2026|A","2026-07-29","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","14","1","20"
"978-93-5933-623-7","Decoding the Panji of Mithila Volume VI","","Gajendra Thakur","English","","2026","2026-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","34079|ISBN|2026|A","2026-07-25","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","15","1","21"
"978-93-5933-373-1","Decoding the Panji of Mithila Volume V","","Gajendra","English","","2026","2026-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","33446|ISBN|2026|A","2026-07-22","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","16","1","22"
"978-93-6123-729-4","तत्त्वचिन्तामणि मूल संस्कृत गंगेश संस्कृतसँ मैथिली अनुवाद गजेन्द्र ठाकुर","","Gajendra","Maithili","","2026","2026-07-22","Book","INDIA","Allotted |

Allocation Letter","Gajendra","33312|ISBN|2026|A","2026-07-22","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","17","1","23"
"978-93-6123-509-2","Decoding the Panji of Mithila Volume IV","","Gajendra","English","","2026","2026-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","32967|ISBN|2026|A","2026-07-20","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","18","1","24"
"978-93-6068-808-0","Decoding the Panji of Mithila Volume III","","Gajendra Thakur","English","","2026","2026-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","31704|ISBN|2026|A","2026-07-14","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","19","1","25"
"978-93-6068-216-3","Maithili English Thesaurus","","Gajendra","Maithili","","2026","2026-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","30317|ISBN|2026|A","2026-07-08","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","20","1","26"
"978-93-6038-147-9","ENGLISH MAITHILI THESAURUS","","Gajendra","Maithili","","2026","2026-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","29549|ISBN|2026|A","2026-07-03","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","21","1","27"
"978-93-6012-526-4","Decoding the Panji of Mithila Volume II","","Gajendra","English","","2026","2026-06-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","28367|ISBN|2026|A","2026-06-26","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","22","1","28"
"978-93-5987-762-4","गोंहि सभक बीच जलसमाधि","","Gajendra","Maithili","","2026","2026-06-21","Book","INDIA","Allotted |

Allocation Letter","Gajendra","27259|ISBN|2026|A","2026-06-19","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","23","1","29"
"978-93-5987-425-8","The Grammar and History of Maithili Ghazal","","Gajendra","English","","2026","2026-06-17","Book","INDIA","Allotted |

Allocation Letter","Gajendra","26919|ISBN|2026|A","2026-06-17","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","24","1","30"
"978-93-5943-043-0","Jagdish Prasad Mandal: A Biography","","Gajendra","English","","2026","2026-06-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","25114|ISBN|2026|A","2026-06-10","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","25","1","31"
"978-93-5915-894-5","Decoding the Panji of Mithila: Surprising Insights from India and Nepal's Oldest Social Network","","Gajendra Thakur","English","","2026","2026-05-26","Book","INDIA","Allotted |

Allocation Letter","Gajendra","22490|ISBN|2026|A","2026-05-24","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","26","1","32"
"978-93-5890-210-5","गजेन्द्र ठाकुर समग्र","","Gajendra","Maithili","","2026","2026-04-20","Book","INDIA","Allotted |

Allocation Letter","Gajendra","16862|ISBN|2026|A","2026-04-16","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","27","1","33"
"978-93-5812-486-6","A PARALLEL HISTORY OF MITHILA & MAITHILI LITERATURE series","","Gajendra","English","","2026","2026-04-11","Book","INDIA","Allotted |

Allocation Letter","Gajendra","15804|ISBN|2026|A","2026-04-09","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","28","1","34"
"978-93-5811-956-5","Setusham Vibrant Maithili","","Gajendra","English","","2026","2026-04-02","Book","INDIA","Allotted |

Allocation Letter","Gajendra","14895|ISBN|2026|A","2026-04-01","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","29","1","35"
"978-93-5810-458-5","A Bridge Built for the Sake of Love","","Gajendra","English","","2026","2026-03-30","Book","INDIA","Allotted |

Allocation Letter","Gajendra","14235|ISBN|2026|A","2026-03-27","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","30","1","36"
"978-93-5810-064-8","The Coconut Fortress","","Gajendra","English","","2026","2026-03-25","Book","INDIA","Allotted |

Allocation Letter","Gajendra","13684|ISBN|2026|A","2026-03-24","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","31","1","37"
"978-93-5782-486-6","Maithili Web Journalism's History","","Gajendra","English","","2026","2026-03-19","Book","INDIA","Allotted |

Allocation Letter","Gajendra","12761|ISBN|2026|A","2026-03-18","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","32","1","38"
"978-93-5782-026-4","THE BLACK BEE IS SLEEPING ATOP THE MOUNTAIN","","Gajendra","English","","2026","2026-03-16","Book","INDIA","Allotted |

Allocation Letter","Gajendra","12129|ISBN|2026|A","2026-03-13","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","33","1","39"
"978-93-5779-649-1","The Comet’s Coma: Lost in the Frozen Clouds","","Gajendra","English","","2026","2026-03-11","Book","INDIA","Allotted |

Allocation Letter","Gajendra","11608|ISBN|2026|A","2026-03-11","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","34","1","40"
"978-93-5717-665-1","Struggles of Life","","Gajendra Thakur","English","","2026","2026-02-12","Book","INDIA","Allotted |

Allocation Letter","Gajendra","6973|ISBN|2026|A","2026-02-11","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","35","1","41"
"978-93-5717-345-2","नित नवल दिनेश कुमार मिश्र","","Gajendra Thakur","Maithili","","2026","2023-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","6608|ISBN|2026|A","2026-02-09","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","36","1","42"
"978-93-5635-145-5","जतबे बुझलहुँ, ततबे लिखलहुँ","","Gajendra Thakur","Maithili","","2026","2026-01-02","Book","INDIA","Allotted |

Allocation Letter","Gajendra","286|ISBN|2026|A","2026-01-02","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","37","1","43"
"978-93-5469-476-9","Flowers Blooming on a Withered Tree","","Gajendra Thakur","English","","2025","2025-11-07","Book","INDIA","Allotted |

Allocation Letter","Gajendra","42623|ISBN|2025|A","2025-11-06","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","38","1","44"
"978-93-344-5482-6","Echoes of Existence","","Gajendra Thakur translation","English","2025","2025","2025-11-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","40732|ISBN|2025|A","2025-10-25","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","39","1","45"
"978-93-344-5087-3","भवनाथ झा","","Gajendra","Maithili","","2025","2025-10-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","40173|ISBN|2025|A","2025-10-19","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","40","1","46"
"978-93-343-7356-1","विदेह शिवशंकर श्रीनिवास कृतित्व","","Gajendra","Maithili","","2025","2025-08-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","27820|ISBN|2025|A","2025-08-03","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","41","1","47"
"978-93-343-0303-2","विदेह मैथिली ई पत्रिका अंक ९१","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","","2025","2011-10-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","16639|ISBN|2025|A","2025-05-16","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","42","1","48"
"978-93-342-9910-6","विदेह मैथिली ई पत्रिका अंक 420 मिथिलाक्षर","","Gajendra Thakur","Maithili","","2025","2025-06-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","16144|ISBN|2025|A","2025-05-13","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","43","1","49"
"978-93-342-9891-8","विदेह मैथिली ई पत्रिका अंक ४२०","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","","2025","2025-06-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","16123|ISBN|2025|A","2025-05-13","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","44","1","50"
"978-93-342-9767-6","विदेह मैथिली ई पत्रिका अंक 419","","Gajendra Thakur","Maithili","","2025","2025-06-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","15938|ISBN|2025|A","2025-05-11","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","45","1","51"
"978-93-342-9658-7","विदेह मैथिली ई पत्रिका अंक ८९","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","","2025","2011-09-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","15762|ISBN|2025|A","2025-05-09","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","46","1","52"
"978-93-342-8853-7","विदेह मैथिली पत्रिका अंक ८७","","Gajendra","Maithili","","2025","2011-08-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","14518|ISBN|2025|A","2025-04-29","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","47","1","53"
"978-93-342-8354-9","विदेह मैथिली ई पत्रिका अंक ४१८","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","","2025","2025-05-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","13745|ISBN|2025|A","2025-04-22","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","48","1","54"
"978-93-342-8247-4","विदेह मैथिली ई पत्रिका अंक ४१७","","Gajendra Thakur","Maithili","","2025","2025-05-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","13588|ISBN|2025|A","2025-04-21","(Edit Expired) | Surrender ISBN
| Upload Final Verso Page","1","0","1","1","0","0","0","49","1","55"
"978-93-342-7497-4","विदेह मैथिली ई पत्रिका अंक 85","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","","2025","2011-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","12527|ISBN|2025|A","2025-04-10","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","50","1","56"
"978-93-342-7381-6","विदेह मैथिली ई पत्रिका अंक ८३","","Gajendra Thakur गजेन्द्र ठाकुर","Maithili","","2025","2011-06-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","12342|ISBN|2025|A","2025-04-09","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","51","1","57"
"978-93-342-7211-6","विदेह मैथिली ई पत्रिका अंक ४१६","","Gajendra Thakur","Maithili","","2025","2025-04-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","12118|ISBN|2025|A","2025-04-07","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","52","1","58"
"978-93-342-5296-5","विदेह मैथिली ई पत्रिका अंक 415","","Gajendra Thakur","Maithili","","2025","2025-04-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","9133|ISBN|2025|A","2025-03-13","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","53","1","59"
"978-93-342-5078-7","विदेह मैथिली ई पत्रिका अंक 414 देवनागरी","","Gajendra Thakur","Maithili","","2025","2025-03-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","8727|ISBN|2025|A","2025-03-11","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","54","1","60"
"978-93-342-4747-3","विदेह मैथिली ई पत्रिका अंक 514","","Gajendra Thakur","Maithili","","2025","2029-05-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","8031|ISBN|2025|A","2025-03-05","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","55","1","61"
"978-93-342-4372-7","विदेह मैथिली ई पत्रिका अंक ८०","","Gajendra Thakur","Maithili","","2025","2011-04-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","7589|ISBN|2025|A","2025-03-01","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","56","1","62"
"978-93-342-3976-8","विदेह मैथिली ई पत्रिका अंक में 78","","Gajendra Thakur","Maithili","","2025","2011-03-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","6978|ISBN|2025|A","2025-02-24","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","57","1","63"
"978-93-342-3822-8","विदेह मैथिली ई पत्रिका अंक 413","","Gajendra Thakur","Maithili","","2025","2025-03-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","6723|ISBN|2025|A","2025-02-21","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","58","1","64"
"978-93-342-3465-7","विदेह मैथिली ई पत्रिका अंक 75","","Gajendra Thakur","Maithili","","2025","2011-02-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","5935|ISBN|2025|A","2025-02-14","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","59","1","65"
"978-93-342-2978-3","विदेह मैथिली ई पत्रिका अंक 73","","Gajendra Thakur","Maithili","","2025","2011-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","5573|ISBN|2025|A","2025-02-13","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","60","1","66"
"978-93-342-2918-9","विदेह मैथिली ई पत्रिका अंक 71","","Gajendra Thakur","Maithili","","2025","2010-12-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","5472|ISBN|2025|A","2025-02-12","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","61","1","67"
"978-93-342-2705-5","विदेह मैथिली ई पत्रिका अंक 69","","Gajendra Thakur","Maithili","","2025","2010-11-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","5051|ISBN|2025|A","2025-02-10","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","62","1","68"
"978-93-342-2217-3","विदेह मैथिली ई पत्रिका अंक 67","","Gajendra Thakur","Maithili","","2025","2010-10-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","4416|ISBN|2025|A","2025-02-05","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","63","1","69"
"978-93-342-2187-9","विदेह मैथिल ई पत्रिका अंक 412 देवनागरी","","Gajendra Thakur","Maithili","","2025","2025-02-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","4205|ISBN|2025|A","2025-02-03","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","64","1","70"
"978-93-342-1781-0","विदेह मैथिली ई पत्रिका अंक 66","","Gajendra Thakur","Maithili","","2025","2010-09-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","3720|ISBN|2025|A","2025-01-30","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","65","1","71"
"978-93-342-1286-0","विदेह मैथिली ई पत्रिका अंक भाग 411","","Gajendra Thakur","Maithili","","2025","2025-02-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","2778|ISBN|2025|A","2025-01-22","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","66","1","72"
"978-93-342-0613-5","विदेह मैथिली ई पत्रिका अंक 63","","Gajendra Thakur","Maithili","","2025","2010-08-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","1875|ISBN|2025|A","2025-01-15","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","67","1","73"
"978-93-342-0225-0","विदेह् मैथिली ई पत्रिका अंक ४१० देवनागरी","","Gajendra Thakur","Maithili","","2025","2025-01-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","1048|ISBN|2025|A","2025-01-08","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","68","1","74"
"978-93-341-9761-7","विदेह मैथिली ई पत्रिका अंक 61","","Gajendra Thakur","Maithili","","2025","2010-07-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","284|ISBN|2025|A","2025-01-02","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","69","1","75"
"978-93-341-9574-3","विदेह मैथिली ई पत्रिका अंक 59","","Gajendra Thakur","Maithili","","2025","2010-06-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","39765|ISBN|2024|A","2024-12-31","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","70","1","76"
"978-93-341-9187-5","विदेह मैथिली ई पत्रिका अंक ५८","","Gajendra Thakur","Maithili","","2024","2010-05-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","39027|ISBN|2024|A","2024-12-24","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","71","1","77"
"978-93-341-8893-6","विदेह मैथिली ई पत्रिका अंक ४०९","","Gajendra Thakur","Maithili","","2024","2025-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","38497|ISBN|2024|A","2024-12-19","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","72","1","78"
"978-93-341-8608-6","विदेह मैथिली ई पत्रिका अंक 55","","Gajendra Thakur","Maithili","","2024","2010-04-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","37961|ISBN|2024|A","2024-12-15","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","73","1","79"
"978-93-341-8066-4","विदेह मैथिली ई पत्रिका अंक 408 मिथिलाक्षर","","Gajendra Thakur","Maithili","","2024","2024-12-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","36945|ISBN|2024|A","2024-12-07","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","74","1","80"
"978-93-341-7759-6","विदेह मैथिली ई पत्रिका अंक 408","","Gajendra Thakur","Maithili","","2024","2024-12-15","Book","INDIA","Allotted |

Allocation Letter","Gajendra","36370|ISBN|2024|A","2024-12-02","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","75","1","81"
"978-93-341-7274-4","विदेह मैथिली ई पत्रिका अंक 53","","Gajendra Thakur","Maithili","","2024","2010-03-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","35522|ISBN|2024|A","2024-11-26","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","76","1","82"
"978-93-341-7059-7","विदेह मैथिली ई पत्रिका अंक भाग 51","","Gajendra Thakur","Maithili","","2024","2010-02-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","35087|ISBN|2024|A","2024-11-22","(Edit Expired) | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","77","1","83"
